Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
307, $816.00 , $-   , $720.00 , $-   , $140.00 , $550.00 ," $2,226.00 ",158
308, $472.00 , $17.00 , $180.00 , $-   , $196.00 , $-   , $865.00 ,77
309, $48.00 , $-   , $18.00 , $-   , $84.00 , $-   , $150.00 ,10
313, $392.00 , $17.00 , $90.00 , $-   , $84.00 , $-   , $583.00 ,58
314, $640.00 , $34.00 , $216.00 , $-   , $308.00 , $-   ," $1,198.00 ",105
315, $576.00 , $-   , $288.00 , $-   , $84.00 , $-   , $948.00 ,91
316, $616.00 , $34.00 , $144.00 , $-   , $224.00 , $-   ," $1,018.00 ",95
317, $336.00 , $-   , $252.00 , $-   , $140.00 , $50.00 , $778.00 ,62
318, $664.00 , $17.00 , $504.00 , $-   , $112.00 , $-   ," $1,297.00 ",116
322, $432.00 , $17.00 , $270.00 , $25.00 , $224.00 , $-   , $968.00 ,79
323, $264.00 , $-   , $378.00 , $-   , $112.00 , $-   , $754.00 ,58
324, $584.00 , $34.00 , $684.00 , $-   , $364.00 , $-   ," $1,666.00 ",126
325, $536.00 , $17.00 , $306.00 , $-   , $336.00 , $-   ," $1,195.00 ",97
326, $936.00 , $68.00 , $576.00 , $-   , $336.00 , $-   ," $1,916.00 ",165
327, $328.00 , $17.00 , $792.00 , $50.00 , $308.00 , $-   ," $1,495.00 ",99
328, $920.00 , $-   , $720.00 , $-   , $840.00 , $50.00 ," $2,530.00 ",186
332," $1,336.00 ", $170.00 , $666.00 , $-   , $756.00 , $-   ," $2,928.00 ",241
334, $104.00 , $-   , $144.00 , $-   , $140.00 , $50.00 , $438.00 ,27
336, $568.00 , $34.00 , $324.00 , $25.00 , $672.00 , $-   ," $1,623.00 ",116
340, $240.00 , $-   , $198.00 , $-   , $140.00 , $50.00 , $628.00 ,47
342, $248.00 , $-   , $288.00 , $-   , $84.00 , $50.00 , $670.00 ,51
344, $488.00 , $34.00 , $198.00 , $-   , $84.00 , $-   , $804.00 ,77
346, $552.00 , $-   , $270.00 , $-   , $112.00 , $-   , $934.00 ,88
347, $120.00 , $-   , $360.00 , $-   , $28.00 , $100.00 , $608.00 ,38
350, $168.00 , $-   , $126.00 , $25.00 , $84.00 , $-   , $403.00 ,32
351, $728.00 , $51.00 , $252.00 , $25.00 , $112.00 , $50.00 ," $1,218.00 ",114
354, $216.00 , $-   , $270.00 , $-   , $140.00 , $-   , $626.00 ,47
355, $520.00 , $17.00 , $270.00 , $25.00 , $168.00 , $-   ," $1,000.00 ",88
356, $344.00 , $-   , $306.00 , $-   , $112.00 , $-   , $762.00 ,64
360, $864.00 , $34.00 , $396.00 , $-   , $140.00 , $-   ," $1,434.00 ",137
363, $984.00 , $68.00 , $864.00 , $25.00 , $392.00 , $-   ," $2,333.00 ",190
364, $528.00 , $34.00 , $756.00 , $-   , $224.00 , $450.00 ," $1,992.00 ",127
365, $720.00 , $17.00 , $594.00 , $-   , $280.00 , $-   ," $1,611.00 ",134
366, $488.00 , $17.00 , $198.00 , $-   , $280.00 , $50.00 ," $1,033.00 ",84
368, $488.00 , $17.00 , $594.00 , $-   , $364.00 , $-   ," $1,463.00 ",108
371," $1,176.00 ", $34.00 , $954.00 , $100.00 , $280.00 , $-   ," $2,544.00 ",216
